epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1825.12,0.92923,1.47187,0.85012,1.08717,0,0.80141,0.71486,0.75094,0.54641,0.70809,0.62651,0.61518,0.20541,1.06698,1.26027,1.07837,1.0754,0,0.0009308,0.0009308,0.0009308
29,1883.33,0.90185,1.44355,0.83328,1.08624,0,0.79602,0.71888,0.76978,0.54849,0.70336,0.62651,0.59984,0.19342,1.10333,1.25999,1.0483,1.14417,0,0.0008912,0.0008912,0.0008912
30,1941.64,0.90307,1.45435,0.8101,1.07521,0,0.84693,0.71106,0.80615,0.57278,0.75103,0.61786,0.61578,0.20604,1.07813,1.25295,1.0793,1.11018,0,0.0008516,0.0008516,0.0008516
31,2000.15,0.90379,1.46761,0.80886,1.08371,0,0.86527,0.6964,0.79041,0.56756,0.79156,0.62249,0.64593,0.21553,1.08092,1.28015,1.05492,1.08179,0,0.000812,0.000812,0.000812
32,2058.33,0.89298,1.44345,0.80535,1.07757,0,0.82152,0.67068,0.77065,0.57865,0.7383,0.58635,0.63755,0.21231,1.00183,1.24589,1.03251,1.03542,0,0.0007724,0.0007724,0.0007724
33,2116.8,0.88857,1.45333,0.80115,1.07113,0,0.8069,0.72691,0.78478,0.58079,0.70677,0.63052,0.62563,0.2064,1.05979,1.26149,1.0164,1.07991,0,0.0007328,0.0007328,0.0007328
34,2175.69,0.878,1.43792,0.79146,1.07077,0,0.80505,0.74699,0.78185,0.56991,0.69452,0.62651,0.61706,0.20487,1.07579,1.25274,1.03651,1.05584,0,0.0006932,0.0006932,0.0006932
35,2234.11,0.85607,1.43732,0.77562,1.06054,0,0.88036,0.71084,0.80818,0.59225,0.75474,0.61044,0.63234,0.21077,1.056,1.24417,1.00665,1.09998,0,0.0006536,0.0006536,0.0006536
36,2292.4,0.8678,1.44803,0.77315,1.06647,0,0.84159,0.67871,0.7959,0.589,0.77681,0.59839,0.64362,0.20862,0.99565,1.24425,1.00604,1.03828,0,0.000614,0.000614,0.000614
37,2357.71,0.85362,1.42857,0.75488,1.05352,0,0.82481,0.69961,0.78981,0.58869,0.75959,0.62176,0.64909,0.21314,0.99082,1.22136,0.99642,1.03805,0,0.0005744,0.0005744,0.0005744
38,2428.73,0.83902,1.43304,0.75517,1.04667,0,0.8968,0.70683,0.79926,0.59568,0.80954,0.61446,0.65106,0.23314,1.01055,1.23806,1.02372,1.03861,0,0.0005348,0.0005348,0.0005348
39,2499.48,0.83415,1.4117,0.74834,1.04833,0,0.82522,0.72691,0.79478,0.59091,0.72209,0.61567,0.62707,0.21503,0.99119,1.23867,1.00848,1.04357,0,0.0004952,0.0004952,0.0004952
40,2565.45,0.84693,1.42619,0.74981,1.05491,0,0.80992,0.71084,0.78313,0.58289,0.74815,0.62249,0.64938,0.21157,0.98862,1.21314,1.01082,1.01916,0,0.0004556,0.0004556,0.0004556
41,2649.46,0.7816,1.08124,0.78846,1.14581,0,0.79414,0.72289,0.78945,0.59068,0.70678,0.64257,0.65115,0.21227,0.98925,1.23891,0.97764,1.02529,0,0.000416,0.000416,0.000416
42,2717.49,0.76293,1.07012,0.76238,1.12489,0,0.88305,0.72691,0.79297,0.60272,0.79894,0.64659,0.66598,0.22483,0.94199,1.21259,0.93784,0.99335,0,0.0003764,0.0003764,0.0003764
43,2785.41,0.74373,1.0708,0.72898,1.1136,0,0.80046,0.75904,0.78458,0.59044,0.78398,0.65588,0.68083,0.21928,0.98819,1.23227,0.96069,1.00619,0,0.0003368,0.0003368,0.0003368
44,2850.96,0.73617,1.06061,0.7093,1.11514,0,0.79861,0.76442,0.80851,0.62547,0.77922,0.64257,0.66725,0.22639,0.93164,1.23357,0.90746,0.99693,0,0.0002972,0.0002972,0.0002972
45,2915.59,0.71299,1.0569,0.69303,1.09822,0,0.87786,0.71888,0.80059,0.60899,0.75864,0.62651,0.63433,0.22256,0.96879,1.25814,0.93342,1.02296,0,0.0002576,0.0002576,0.0002576
46,2972.25,0.71243,1.05359,0.68944,1.10074,0,0.80366,0.76305,0.80954,0.62467,0.78942,0.62651,0.6626,0.22756,0.95577,1.25007,0.8975,1.00222,0,0.000218,0.000218,0.000218
47,3044.32,0.6941,1.04681,0.67149,1.09635,0,0.84365,0.73682,0.80935,0.62368,0.77453,0.67599,0.6791,0.22933,0.90339,1.24016,0.89983,0.97207,0,0.0001784,0.0001784,0.0001784
48,3114.54,0.69189,1.03735,0.65938,1.08924,0,0.85419,0.72933,0.80436,0.61818,0.77897,0.65106,0.65604,0.22478,0.90318,1.24283,0.90444,0.969,0,0.0001388,0.0001388,0.0001388
49,3183.08,0.67184,1.03021,0.65041,1.07283,0,0.84267,0.74297,0.81272,0.63422,0.77249,0.66819,0.67799,0.22975,0.88675,1.22975,0.8884,0.95056,0,9.92e-05,9.92e-05,9.92e-05
50,3252.09,0.66816,1.03175,0.64008,1.07488,0,0.85265,0.74368,0.80808,0.62193,0.77127,0.6506,0.65713,0.22909,0.9036,1.24134,0.88719,0.96341,0,5.96e-05,5.96e-05,5.96e-05
